time,Wind speed 100 Hz,RH,Air temperature,Leaf Wetness,Soil conductivity_25cm,Soil conductivity_15cm,Soil conductivity_5cm,Soil temperature_25cm,Soil temperature_15cm,Soil temperature_5cm,Soil moisture_25cm,Soil moisture_15cm,Soil moisture_5cm,Precipitation,Pyranometer
2022-07-27 22:20:00+03:00,0.701017,54.7837,24.29771,0,1455.232,1688.103,2134.716,28.07608,30.77568,28.52149,11.81501,9.941986,1.946248,0,1.335164
2022-07-27 22:30:00+03:00,0.520927,54.88289,24.44648,0,1455.232,1687.659,2124.104,28.05599,30.71196,28.23558,11.81501,9.929589,1.970125,0,1.144427
2022-07-27 22:40:00+03:00,0.728364,55.34447,24.10696,0,1455.215,1685.347,2116.558,28.09615,30.60985,28.05476,11.81205,9.926491,1.965563,0,1.335164
2022-07-27 22:50:00+03:00,0.486243,57.16029,23.77508,0,1455.62,1684.81,2107.531,28.12212,30.50773,27.7465,11.81797,9.929589,1.967843,0,1.144427
2022-07-27 23:00:00+03:00,0.810405,57.20988,23.62631,0,1454.811,1685.868,2116.558,28.11621,30.40563,27.56403,11.81501,9.917201,1.975835,0,1.144427
2022-07-27 23:10:00+03:00,1.074537,57.5494,23.56146,0,1455.603,1682.505,2106.032,28.17404,30.35457,27.30735,11.81797,9.932685,1.981556,0,1.144427
2022-07-27 23:20:00+03:00,0.69368,59.06004,23.2372,0,1455.181,1684.003,2104.531,28.15398,30.30353,27.10068,11.82389,9.917201,1.989581,0,1.144427
2022-07-27 23:30:00+03:00,0.370852,59.63226,22.96254,0,1455.973,1682.851,2101.534,28.128,30.0993,26.84694,11.82389,9.923392,1.993026,0,1.144427
2022-07-27 23:40:00+03:00,0.242788,60.68131,22.58106,0,1455.99,1683.462,2101.534,28.12212,30.0993,26.76485,11.82094,9.917201,2.004536,0,1.144427
2022-07-27 23:50:00+03:00,0.072036,60.02136,22.69933,0,1456.378,1681.162,2101.534,28.09615,29.97167,26.68588,11.82389,9.929589,2.005689,0,1.144427
2022-07-28 00:00:00+03:00,0,60.31891,22.85191,0,1455.99,1680.622,2089.587,28.17404,29.89509,26.48069,11.80909,9.914103,2.010306,0,1.144427
2022-07-28 00:10:00+03:00,0.158079,60.40665,22.69933,0,1455.163,1679.205,2094.059,28.07608,29.71639,26.29415,11.81797,9.914103,2.019557,0,1.144427
2022-07-28 00:20:00+03:00,0.251459,61.96307,22.39033,0,1455.568,1678.497,2094.059,28.07608,29.69087,26.11766,11.81501,9.914103,2.025354,0,1.144427
2022-07-28 00:30:00+03:00,0,62.47807,22.04318,0,1456.378,1678.497,2100.037,28.09615,29.61429,26.01569,11.81797,9.904819,2.027675,0,1.144427
2022-07-28 00:40:00+03:00,0.558946,61.95163,22.05081,0,1455.99,1677.083,2086.609,28.07608,29.48665,25.81168,11.81797,9.911007,2.035811,0,1.144427
2022-07-28 00:50:00+03:00,0.384192,61.89059,22.03937,0,1455.973,1677.685,2080.669,28.07608,29.46113,25.65403,11.81501,9.917201,2.040468,0,1.144427
2022-07-28 01:00:00+03:00,0.602301,62.8481,21.89822,0,1456.412,1676.107,2094.059,28.11621,29.28245,25.54943,11.81205,9.911007,2.047467,0,1.144427
2022-07-28 01:10:00+03:00,0.636985,62.02792,21.85626,0,1456.412,1677.576,2089.587,28.05599,29.28245,25.44611,11.80909,9.901728,2.048635,0,1.144427
