timestamp,soil-bulk-ec0-uS/cm,soil-moisture0-%,soil-temperature0-C
2022-05-25 13:17:31.822000+00:00,83.0,11.41,28.8
2022-05-25 13:22:43.014000+00:00,85.0,11.42,28.9
2022-05-25 13:27:22.017000+00:00,83.0,11.41,28.9
2022-05-25 13:32:35.019000+00:00,83.0,11.38,29.0
2022-05-25 13:37:48.021000+00:00,83.0,11.4,29.0
2022-05-25 13:42:49.829000+00:00,83.0,11.39,29.2
2022-05-25 13:48:19.842000+00:00,83.0,11.4,29.2
2022-05-25 13:52:58.832000+00:00,83.0,11.39,29.3
2022-05-25 13:58:01.828000+00:00,83.0,11.4,29.3
2022-05-25 14:02:56.828000+00:00,84.0,11.4,29.4
2022-05-25 14:07:51.834000+00:00,83.0,11.38,29.4
2022-05-25 14:12:39.903000+00:00,83.0,11.38,29.4
2022-05-25 14:18:07.036000+00:00,83.0,11.38,29.5
2022-05-25 14:22:45.038000+00:00,84.0,11.37,29.6
2022-05-25 14:28:07.035000+00:00,83.0,11.38,29.6
2022-05-25 14:32:54.839000+00:00,83.0,11.38,29.6
2022-05-25 14:38:15.837000+00:00,83.0,11.39,29.7
2022-05-25 14:43:46.042000+00:00,84.0,11.4,29.7
2022-05-25 14:48:35.848000+00:00,85.0,11.39,29.7
2022-05-25 14:53:44.840000+00:00,85.0,11.39,29.7
2022-05-25 14:58:34.841000+00:00,83.0,11.39,29.7
2022-05-25 15:03:46.025000+00:00,83.0,11.39,29.8
2022-05-25 15:08:29.943000+00:00,84.0,11.37,29.8
2022-05-25 15:13:19.834000+00:00,84.0,11.38,29.8
2022-05-25 15:18:15.840000+00:00,85.0,11.37,29.8
2022-05-25 15:23:27.019000+00:00,83.0,11.39,29.8
2022-05-25 15:28:39.835000+00:00,84.0,11.39,29.8
2022-05-25 15:33:54.026000+00:00,84.0,11.38,29.8
2022-05-25 15:38:56.024000+00:00,85.0,11.4,29.8
2022-05-25 15:44:18.029000+00:00,85.0,11.38,29.8
2022-05-25 15:49:04.026000+00:00,83.0,11.38,29.7
2022-05-25 15:53:54.030000+00:00,84.0,11.38,29.7
2022-05-25 15:59:02.841000+00:00,84.0,11.38,29.7
2022-05-25 16:04:22.031000+00:00,84.0,11.37,29.7
2022-05-25 16:09:09.028000+00:00,84.0,11.37,29.7
2022-05-25 16:14:17.836000+00:00,85.0,11.37,29.6
2022-05-25 16:18:52.841000+00:00,83.0,11.39,29.6
2022-05-25 16:23:44.076000+00:00,84.0,11.38,29.5
2022-05-25 16:28:27.025000+00:00,83.0,11.36,29.5
2022-05-25 16:33:35.031000+00:00,84.0,11.38,29.4
2022-05-25 16:38:56.036000+00:00,83.0,11.37,29.4
2022-05-25 16:44:05.833000+00:00,84.0,11.38,29.3
2022-05-25 16:49:32.030000+00:00,84.0,11.37,29.3
2022-05-25 16:54:26.829000+00:00,84.0,11.36,29.2
2022-05-25 16:59:31.836000+00:00,84.0,11.36,29.2
2022-05-25 17:04:45.011000+00:00,82.0,11.37,29.1
2022-05-25 17:10:15.010000+00:00,84.0,11.37,29.1
2022-05-25 17:15:05.056000+00:00,84.0,11.36,29.0
